date,open,high,low,close,adjclose,volume
2016-03-11,154.5,155.0,153.0,155.0,129.13,29566000.0
2016-03-14,156.5,157.5,155.5,156.0,129.97,32751000.0
2016-03-15,155.0,156.5,153.0,154.5,128.72,28689000.0
2016-03-16,155.5,156.0,154.0,156.0,129.97,30962000.0
2016-03-17,159.5,160.0,157.5,158.5,132.05,48193000.0
2016-03-18,158.5,159.5,158.5,159.5,132.88,55975000.0
2016-03-21,160.0,160.0,158.0,160.0,133.3,26100000.0
2016-03-22,159.5,159.5,157.0,158.5,132.05,25809000.0
2016-03-23,158.5,159.5,158.0,159.5,132.88,27478000.0
2016-03-24,158.0,159.0,157.0,158.5,132.05,24853000.0
2016-03-25,158.5,159.0,157.0,158.0,131.63,10175000.0
2016-03-28,158.0,159.0,157.0,159.0,132.47,15268000.0
2016-03-29,158.5,159.5,158.0,159.0,132.47,18977000.0
2016-03-30,158.5,162.0,158.5,161.5,134.55,43616000.0
2016-03-31,162.0,163.0,159.0,162.0,134.97,49433000.0
2016-04-01,161.0,161.0,157.5,158.5,132.05,31564000.0
2016-04-06,155.5,156.0,153.5,153.5,127.88,58134000.0
2016-04-07,155.0,155.0,152.5,154.5,128.72,35238000.0
2016-04-08,154.0,158.0,154.0,157.5,131.22,41032000.0
2016-04-11,156.0,159.0,155.5,158.5,132.05,21758000.0
2016-04-12,157.5,159.5,157.5,158.5,132.05,14859000.0
2016-04-13,160.0,162.0,159.5,161.5,134.55,39611000.0
2016-04-14,162.0,162.5,160.0,161.5,134.55,31338000.0
2016-04-15,157.0,160.0,156.0,159.5,132.88,48779000.0
2016-04-18,158.0,158.5,157.5,158.0,131.63,20279000.0
2016-04-19,160.0,161.0,157.0,157.5,131.22,26577000.0
2016-04-20,157.5,158.0,154.0,154.0,128.3,40996000.0
2016-04-21,156.0,157.0,154.0,157.0,130.8,29723000.0
2016-04-22,155.5,158.0,155.0,156.5,130.38,28990000.0
2016-04-25,156.5,157.5,156.0,157.5,131.22,14306000.0
2016-04-26,156.5,158.5,156.5,158.0,131.63,18119000.0
2016-04-27,156.0,157.5,155.5,156.5,130.38,28845000.0
2016-04-28,157.5,158.0,153.0,153.0,127.47,48915000.0
2016-04-29,151.0,151.0,149.0,150.0,124.97,66445000.0
2016-05-03,148.0,148.5,146.5,147.5,122.89,68550000.0
2016-05-04,147.0,149.0,146.5,147.0,122.47,52973000.0
2016-05-05,147.5,148.5,146.0,147.5,122.89,38269000.0
2016-05-06,148.5,148.5,147.0,148.0,123.3,36510000.0
2016-05-09,148.5,149.0,146.5,147.5,122.89,38478000.0
2016-05-10,147.0,148.0,146.5,147.0,122.47,29785000.0
2016-05-11,148.5,149.0,146.5,147.0,122.47,40057000.0
2016-05-12,147.0,148.0,146.0,146.0,121.64,23749000.0
2016-05-13,145.0,145.5,143.0,144.0,119.97,60038000.0
2016-05-16,143.0,145.5,143.0,144.5,120.39,31133000.0
2016-05-17,145.5,147.0,145.0,147.0,122.47,30277000.0
2016-05-18,146.0,147.0,145.0,147.0,122.47,31057000.0
2016-05-19,148.0,148.5,145.5,147.0,122.47,35132000.0
2016-05-20,147.5,149.5,147.0,148.5,123.72,36306000.0
2016-05-23,150.5,154.5,149.5,154.0,128.3,50127000.0
2016-05-24,152.5,153.5,151.0,151.0,125.8,24470000.0
2016-05-25,153.5,155.0,152.5,154.5,128.72,30719000.0
2016-05-26,154.5,155.0,153.5,155.0,129.13,17196000.0
2016-05-27,156.0,156.5,154.5,156.5,130.38,22992000.0
2016-05-30,157.0,158.0,155.0,157.0,130.8,36339000.0
2016-05-31,156.5,157.5,155.0,156.5,130.38,69656000.0
2016-06-01,156.0,159.0,156.0,159.0,132.47,26926000.0
2016-06-02,159.0,160.0,158.0,159.0,132.47,21977000.0
2016-06-03,159.0,160.5,159.0,160.5,133.72,31853000.0
2016-06-04,,,,,,
2016-06-06,161.0,162.0,160.0,161.0,134.13,28757000.0
2016-06-07,161.5,163.5,161.0,162.0,134.97,47046000.0
2016-06-08,164.0,166.0,163.5,165.5,137.88,45214000.0
2016-06-13,161.0,162.5,161.0,162.0,134.97,48750000.0
2016-06-14,161.0,163.0,161.0,162.0,134.97,27509000.0
2016-06-15,162.0,163.0,161.0,163.0,135.8,29270000.0
2016-06-16,161.5,162.5,159.5,160.5,133.72,24408000.0
2016-06-17,162.5,164.5,162.0,163.0,135.8,30633000.0
2016-06-20,164.5,165.0,163.0,163.0,135.8,24911000.0
2016-06-21,164.0,165.5,163.5,165.5,137.88,27970000.0
2016-06-22,164.5,166.0,163.5,166.0,138.3,30359000.0
2016-06-23,165.5,166.0,164.0,164.0,136.63,22494000.0
2016-06-24,164.0,164.0,154.5,159.0,132.47,86547000.0
2016-06-27,154.5,156.0,154.0,155.5,134.63,42874000.0
2016-06-28,155.5,157.5,155.0,157.0,135.93,1327000.0
2016-06-29,158.5,160.0,158.0,159.0,137.66,31514000.0
2016-06-30,161.0,163.0,159.5,162.5,140.69,42398000.0
2016-07-01,164.5,166.0,163.5,166.0,143.72,36212000.0
2016-07-04,165.5,166.5,164.5,166.0,143.72,25724000.0
2016-07-05,165.0,165.5,164.0,164.0,141.99,16346000.0
2016-07-06,163.0,163.0,160.5,161.5,139.83,34803000.0
2016-07-07,163.5,165.0,163.0,164.5,142.42,23769000.0
2016-07-08,164.5,164.5,164.5,164.5,142.42,0.0
2016-07-11,170.0,170.5,168.5,170.0,147.18,50643000.0
2016-07-12,171.0,171.5,169.5,171.0,148.05,41961000.0
2016-07-13,169.5,170.0,167.0,168.5,145.89,50653000.0
2016-07-14,167.0,170.0,167.0,169.0,146.32,34790000.0
2016-07-15,168.0,169.5,166.5,169.5,146.75,41546000.0
2016-07-18,168.0,170.0,168.0,169.5,146.75,24749000.0
2016-07-19,170.5,170.5,169.0,170.5,147.62,42456000.0
2016-07-20,170.0,170.5,169.0,170.0,147.18,38053000.0
2016-07-21,171.0,172.0,170.0,172.0,148.92,33130000.0
2016-07-22,172.0,172.0,170.5,171.0,148.05,28504000.0
2016-07-25,172.0,173.0,169.0,171.5,148.48,27145000.0
2016-07-26,172.0,173.0,171.5,173.0,149.78,32685000.0
2016-07-27,175.0,176.0,174.5,175.0,151.51,34117000.0
2016-07-28,175.0,176.5,173.0,176.5,152.81,31071000.0
2016-07-29,177.0,177.0,172.5,172.5,149.35,29795000.0
2016-08-01,175.0,177.0,174.5,177.0,153.25,34188000.0
2016-08-02,177.5,177.5,175.5,176.0,152.38,15250000.0
2016-08-03,172.5,174.0,172.0,172.5,149.35,21627000.0
2016-08-04,173.0,174.5,172.5,174.5,151.08,13612000.0
2016-08-05,175.0,177.5,174.0,177.0,153.25,25759000.0
2016-08-08,178.0,178.0,176.5,178.0,154.11,16200000.0
2016-08-09,178.5,179.5,177.0,178.5,154.54,16413000.0
2016-08-10,179.0,179.5,178.0,179.5,155.41,19279000.0
2016-08-11,177.5,178.0,175.5,176.5,152.81,28180000.0
2016-08-12,178.5,178.5,177.0,177.5,153.68,22947000.0
2016-08-15,178.5,179.0,177.5,179.0,154.98,12020000.0
2016-08-16,178.0,179.0,175.0,175.5,151.95,34260000.0
2016-08-17,177.0,177.5,176.0,177.0,153.25,21487000.0
2016-08-18,176.0,176.5,175.0,176.0,152.38,27253000.0
2016-08-19,177.0,177.5,174.0,174.5,151.08,23470000.0
2016-08-22,173.0,174.0,171.5,172.5,149.35,21337000.0
